Country,Government_Type,Capital,Mean_Temp,Real_GDP_PPP_billion_USD,Real_GDP_per_Capita_USD,Real_GDP_Growth_Rate_percent,Youth_Unemployment_Rate_percent,Population_Growth_Rate,Median_Age,Total_Literacy_Rate,electricity_access_percent,electricity_capacity_per_capita,internet_users_per_100,broadband_subs_per_100,mobile_subs_per_100,population_density,road_density_per_1000km2,rail_density_per_1000km2,airports_per_million,co2_per_capita_tonnes,co2_per_gdp_tonnes_per_billion,fossil_intensity_index,water_share,coastline_per_1000km2
MOROCCO,Monarchy,Rabat,19.18,303.34,8100.0,7.93,27.2,0.88,29.1,75.9%,100.0,0.38273502714782953,87.83994138248629,5.671918898051173,140.31729211258835,51.74845735027223,79.9944157475918,2.885662431941924,1.6726278764478348,1.6186721384979046,0.1977978505966902,-0.2007999348634484,0.0003488940060009769,4.111405835543767
MOZAMBIQUE,Republic,Maputo,25.18,39.35,1200.0,2.36,8.1,2.55,17.0,63.4%,31.0,0.0850408003615695,16.731354573849476,0.21529316547232785,42.093609160785704,41.34617487728579,39.526691930110125,6.087387776901752,3.01410431661259,0.21529316547232782,0.17789072426937738,,0.016262603517726237,3.140975101096162
NAURU,Republic,no official capital; government offices in the Yaren District,,149.47,11900.0,1.5,26.6,0.42,27.0,,100.0,1.522533495736906,110.84043848964677,9.642712139667074,101.50223304912708,469.14285714285717,1428.5714285714284,,710.5156313438896,6699147.381242387,441.560179300194,,0.0,1428.5714285714284
NEPAL,Republic,Kathmandu,14.46,115.09,3800.0,4.25,9.5,0.74,25.3,71.2%,89.0,0.04504935574405014,50.48634695453895,4.110106450786184,122.97956309438976,215.55094139559543,195.25500345306276,0.4115771776967025,1.5210630172200839,0.22654130043703377,0.060821965418368235,,0.026022380606192375,0.0
NETHERLANDS,Monarchy,Amsterdam; note - The Hague is the seat of government,11.77,992.67,56600.0,4.86,9.6,0.36,42.8,,100.0,2.4856375397748387,94.82401154837429,43.08890381489161,125.33261413668059,515.2665742188652,4104.800401262797,90.13660637889829,1.660565519903023,12.253828319284377,0.21558020288716293,,0.1841465469513516,13.306582480158145
NEW CALEDONIA,Democracy,Noumea,23.39,10.27,35700.0,2.0,41.0,1.17,32.9,96.9%,100.0,3.5619026080709855,79.0868758356004,18.291750088132975,86.47009132571952,16.453187414500682,307.6333789329686,,83.14431858242263,16.628863716484524,0.48685491723466406,,0.016150740242261104,123.33789329685364
NICARAGUA,Republic,Managua,26.56,38.63,5600.0,10.34,11.6,0.91,27.3,82.6%,86.0,0.2888506026002215,61.842646708038714,4.565490545213768,98.02152275056217,53.00182515209601,199.15826318859905,,23.114337823752074,0.6289615734354306,0.10354646647683147,,0.07961954437370561,7.583965330444204
NIGER,Republic,Niamey,28.19,29.96,1200.0,1.39,1.0,3.66,14.8,37.3%,18.0,0.012757492664441717,21.656237547663412,0.04724997283126562,55.12496830314323,20.04960922080998,14.9593431751796,,1.1812493207816406,0.07874995471877604,0.06675567423230974,,236.77979479084453,0.0
NIGERIA,Republic,Abuja,27.65,1050.0,4900.0,3.65,19.6,2.53,18.6,62%,59.0,0.05064486692570622,50.03406149960711,0.02829328708851809,84.52865464347735,253.4594353336964,214.10501906083655,4.170106986631063,0.23392548233582547,0.4505231511652935,0.09904761904761905,-0.1871359203688058,0.014072797498939128,0.9365722115840697
NORTH MACEDONIA,Republic,Skopje,12.6,34.01,16500.0,3.96,34.1,0.11,39.0,98.4%,100.0,0.9037175226515297,81.70018889946144,22.29149577437061,90.99760477357846,83.88353713679078,557.6219871820076,27.483977509534856,4.687331549022457,3.28113208431572,0.20582181711261394,0.12364572928195444,0.010889433360556916,0.0
NORTHERN MARIANA ISLANDS,Republic,Saipan,27.49,1.24,24500.0,-11.14,,0.35,32.8,,100.0,,23.976995808558335,,39.91422165903109,110.54956896551724,1155.1724137931035,,97.47538746466518,0.0,0.0,,0.0,3193.965517241379
NORWAY,Monarchy,Oslo,3.11,368.15,67500.0,3.3,13.0,0.79,39.5,,100.0,6.852540334595468,95.49968881321004,42.652615505319474,103.60983821859675,18.397157899579994,311.88831412965607,12.64616375598951,16.970576949597746,6.43095547563704,0.09778622843949478,0.7842903790060841,0.06028375365192309,82.64701822651357
OMAN,Monarchy,Muscat,28.22,155.03,34300.0,3.09,14.6,1.8,26.2,95.7%,100.0,2.243662065520358,112.69178145620215,13.276474416748293,159.5302683081755,12.38599353796446,194.60420032310176,,34.433599889395104,19.825405996924452,0.49022769786492937,0.2546965966819768,0.0,6.759289176090468
PAKISTAN,Republic,Islamabad,22.14,1211.0,5200.0,6.49,9.4,1.91,22.0,58%,94.0,0.16121311339484892,19.503051664298567,1.0187727936111848,76.19977635612422,321.2629168153073,342.6949894600292,15.412356088860061,0.6097227331902865,0.7793144867928827,0.1593724194880264,-0.18662083324375422,0.03167963622431996,1.3568996270471867
PALAU,Republic,Ngerulmud,27.81,248.47,13800.0,-13.33,5.6,0.39,33.9,96.6%,100.0,,30.745213278846595,5.620092749896689,110.19789705679784,47.44880174291939,272.33115468409585,,137.7473713209973,,,,0.0,3309.368191721133
PANAMA,Republic,Panama City,26.13,126.35,29000.0,15.34,30.0,1.51,30.1,95.7%,95.0,0.9323113783767337,67.9365719460104,12.770190921748512,136.3103493374822,59.24277643260694,,1.0357815442561205,26.566106008299524,5.676518377841779,0.19786307874950534,-0.2218452785866584,0.014319809069212411,33.49475383373688
PAPUA NEW GUINEA,Democracy,Port Moresby,24.83,36.59,3700.0,0.3,5.3,2.31,24.0,64.2%,20.0,0.11599545794782751,32.26282798759592,0.21386344309959418,48.883072708478664,21.682970454445083,20.644349247007906,,57.13209122803444,0.6110384088559834,0.1639792292976223,,0.021562527007173104,11.376584374861988
PARAGUAY,Republic,Asuncion,24.85,91.76,13700.0,4.1,16.3,1.12,29.7,94.5%,100.0,1.186984222693348,69.34267472398349,7.5588623070075345,107.19382870356617,18.725964128043653,198.36547512975017,0.07550931029795974,107.39445067738478,0.9408775403525576,0.07628596338273758,,0.023232829832428605,0.0
PERU,Republic,Lima,20.17,421.94,12500.0,13.35,11.2,0.5,29.1,94.5%,95.0,0.4728704890960504,74.41390877952189,9.383427436821236,132.95057128550368,25.34396357488617,14.608639401998131,,5.887761630856952,1.664602764744897,0.12798028155661942,-0.17540860744690837,0.0040615740856011755,1.8859433935731047
PHILIPPINES,,,27.16,921.83,8100.0,5.7,7.3,1.58,25.7,96.3%,97.0,0.2557427640687112,53.46890136347808,7.278900383704026,149.80944664887238,365.6818023275313,,,0.08254204327123546,1.3023300160572706,0.15404141761496154,-0.1780437962661513,0.0061,121.70573833719018
POLAND,Republic,Warsaw,10.91,1318.0,34900.0,6.85,13.4,0.28,41.9,99.8%,100.0,1.2441906491001233,85.01841951753441,22.029031237979304,133.15723464921322,124.86817307850323,1380.4210284136661,63.96279436656752,3.3165081086254324,8.001733849381996,0.2306525037936267,0.20471942190272366,0.026960039656523337,1.4461553631000312
PORTUGAL,Republic,Lisbon,16.92,347.69,33700.0,5.48,23.1,0.17,44.6,95.9%,100.0,2.1875840616639683,80.21010158317152,40.699735404449704,122.03836390936257,111.76505958237674,906.3080791516344,27.615611675959332,6.260301374820872,4.890860449078806,0.1438062642008686,-0.1899643875214293,0.006732544250190032,19.60205531868372
PUERTO RICO,Republic,San Juan,25.86,106.5,32600.0,0.21,18.5,1.29,43.6,92.4%,100.0,2.0213841509745003,83.86781717659734,21.95668023305447,119.75150712505204,341.255832124121,2998.325705993973,,9.485459608132768,5.887526653323786,0.16901408450704225,-0.22741178295271922,0.015927065026362038,55.921419801317114
QATAR,Monarchy,Doha,28.7,249.64,92900.0,1.59,1.1,0.86,33.7,93.5%,100.0,4.199274595356273,106.63069131441678,11.694859294878883,153.09398824060938,218.54859312963922,607.5435870878647,,2.369570918098151,43.83706198481579,0.4446402820060888,,0.0,48.59312963921975
ROMANIA,Republic,Bucharest,12.27,588.45,30800.0,5.1,20.6,1.01,42.5,98.9%,100.0,1.1201371666019055,87.08782725529235,31.019756441102466,125.11508716394727,79.71746175361366,366.19528385191245,46.230604938862335,2.455483851183055,3.710508930676616,0.11555782139519075,-0.05278732781548081,0.035655708478927475,0.9787246999665059
RUSSIA,Other,Moscow,-2.63,4078.0,28000.0,4.75,16.9,0.24,40.3,99.7%,100.0,1.7995902481206578,93.15525990271641,23.919239668462406,176.43041648241746,8.65192057610872,78.36165693659113,5.220133520237405,8.595689891023378,14008575.068703946,486758.21481118194,0.42373612443497727,0.04213883509193518,2.299034873061256
RWANDA,Republic,Kigali,18.91,30.14,2200.0,10.88,2.9,1.68,19.7,75.9%,48.0,0.0197753210112935,29.103302620394206,0.1319722838055568,81.36230470098185,543.2358115777525,190.5302416085617,,0.5223669701096396,0.07462385287280565,0.033178500331785,,0.06340648492672185,0.0
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",Democracy,Jamestown,,31.1,7800.0,,,0.11,44.7,,100.0,1.0081915563957151,28.82167611846251,12.60239445494644,50.40957781978576,65.04098360655738,1622.9508196721313,,4032.766225582861,1638311.2791430373,418.0064308681672,,0.0,491.8032786885246
SAINT KITTS AND NEVIS,Democracy,Basseterre,28.49,1.26,26500.0,-0.88,,0.59,38.1,,100.0,1.2952186365543537,69.17562070160717,54.727548023423395,103.98234124450445,210.02681992337165,1467.4329501915709,191.57088122605364,4049.838553733331,4888994.29009249,212698.4126984127,,0.0,517.2413793103448
SAINT LUCIA,Democracy,Castries,27.88,2.34,13000.0,12.23,38.7,0.27,39.0,,100.0,0.5489554928367275,83.77538173290928,19.69079485175218,101.4374280241779,276.55280528052805,1996.6996699669967,,2177.921248754408,3932192.0628196024,281623.9316239316,,0.016233766233766232,260.72607260726073
SAINT MARTIN,Democracy,Marigot,,561.5,19300.0,,,0.31,34.0,,100.0,,58.619326990303065,,209.25920296683586,657.94,,,,,,,,1178.0
SAINT VINCENT AND THE GRENADINES,Democracy,Kingstown,27.07,1.43,13700.0,1.35,41.1,0.16,37.0,,100.0,0.48609182175310506,84.32205071227332,24.535732709019484,113.97563588746479,259.1362467866324,,,59.521447561604695,2003888.7345740248,141258.74125874127,,0.0,215.9383033419023
SAMOA,Republic,Apia,28.13,1.21,5500.0,-7.08,19.7,0.65,26.9,99.1%,98.0,0.24096269415569083,82.69839663423308,0.8154177570228577,33.25285179348533,73.55583126550869,407.6568592697625,,19.277015532455266,1710835.1285054048,293388.42975206615,,0.0035323207347227126,142.85714285714286
SAN MARINO,Republic,San Marino,14.3,1.92,56400.0,-6.65,27.4,0.59,45.9,99.9%,100.0,,73.08265504986817,31.525851197982345,114.63945890175398,572.0,4786.88524590164,,,,,,0.0,0.0
SAO TOME AND PRINCIPE,Republic,Sao Tome,24.82,904.06,4100.0,1.88,22.9,1.45,20.4,94.8%,78.0,0.1270578839416986,50.913909208066364,1.1398907302198102,85.87252464015393,228.60165975103735,1348.5477178423237,,4864.501842339317,785036.2114969234,191.35898059863285,,0.0,216.80497925311204
SAUDI ARABIA,Monarchy,Riyadh,26.35,1594.0,44300.0,3.24,28.8,1.65,32.0,97.6%,100.0,2.136488994960073,100.16748560078483,21.954100141775946,126.39834783749251,16.718599425963745,102.97856900297252,2.516641934418451,5.9544005329355425,16110270.600792892,363237.139272271,-0.019223445802939238,0.0,1.2280840493280427
SENEGAL,Republic,Dakar,29.41,35.73,2600.0,3.9,8.2,2.52,19.0,56.3%,46.0,0.05395802805164741,26.65265498518874,0.005439317343916069,75.03538275932218,95.4898457383265,230.09920531865163,5.640679374642913,0.870290775026571,0.10878634687832138,0.0559753708368318,,0.021309258750927706,2.7580117384303744
SERBIA,Republic,Belgrade,13.43,135.53,19800.0,7.55,30.4,0.63,43.7,99.5%,100.0,1.3425215231478889,83.50047621715503,25.853862961510448,127.01393542121875,86.39511319926685,571.1335415752382,43.02088442574283,3.884437970381161,7.021868638765944,0.3467866892938833,0.6320311612869135,0.0,0.0
SEYCHELLES,Republic,Victoria,27.64,2.85,28800.0,7.86,16.5,0.6,38.2,95.9%,100.0,1.6083264185541453,92.40193818699612,35.819580605837096,188.65668889640125,214.54285714285714,1156.043956043956,,143.41764241884098,10.244117315631499,0.3508771929824561,,0.0,1079.1208791208792
SIERRA LEONE,Republic,Freetown,26.99,13.6,1600.0,4.1,10.8,2.41,19.2,47.7%,27.0,0.020206465170789535,11.759028922187149,,92.35581564519244,124.37922368053616,163.3761519128735,,0.8980651187017571,100920.06771410994,66102.94117647059,,0.0016727069974909396,5.612957274504328
SINGAPORE,Republic,Singapore,28.41,578.25,106000.0,7.61,9.1,0.9,38.9,97.5%,100.0,2.0484042612833355,89.85198103619466,25.265326088721007,144.9396632818348,8425.525944726453,4935.138183869148,,,39.83008285828708,0.4115866839602248,,0.013908205841446454,272.1376198533559
SINT MAARTEN,Democracy,Philipsburg,,1.44,35300.0,-6.6,,1.19,41.1,,100.0,,85.57698622939336,,150.71042318891347,1343.4411764705883,1558.8235294117646,,,,,,0.0,1732.3529411764705
SLOVAKIA,Republic,Bratislava,11.08,173.58,31900.0,3.01,21.5,0.13,42.5,,100.0,1.4502373040184364,88.58465281027715,31.36333550156221,135.70308031656756,112.78077122960191,1183.3697120881407,75.3975678203929,6.266912599977992,5.898270682332228,0.18435303606406267,-0.13294865509440612,0.01896604466197614,0.0
SLOVENIA,Republic,Ljubljana,11.65,84.4,40000.0,8.21,13.9,0.08,45.9,99.7%,100.0,1.9344791622019344,89.00890089008901,31.03186509127103,124.16803585120417,104.20276909334524,1934.6434420128035,59.89777182273833,7.61980960000762,6.191095300006191,0.15402843601895733,-0.012214750210448572,0.006017856262023381,2.312540320579624
SOLOMON ISLANDS,Democracy,Honiara,25.89,1.7,2400.0,-0.2,1.9,1.69,24.8,,76.0,0.05596237090180563,35.7599550062538,0.13990592725451406,65.75578580962161,25.540127206460372,49.66769098835132,,50.36613381162506,465886.7377575318,195882.35294117648,,0.031492248062015504,189.84492246123062
SOMALIA,Republic,Mogadishu,27.28,19.4,1100.0,4.05,34.7,2.49,19.0,,49.0,0.0071688563452571635,19.418935045119678,0.9374658297643983,69.67183023896082,20.234413082601538,23.910593508752076,,4.096489340146951,69482.76150018482,45463.9175257732,,0.016184249525999086,4.8219696909316685
SOUTH AFRICA,Republic,Pretoria,18.99,790.62,13300.0,4.91,64.2,1.08,30.1,95%,89.0,1.0806167522608574,73.18039732821263,2.2447794021023726,172.8352935274695,47.797254769570266,617.5533360231212,17.279965746374963,7.0113987082350615,8.096701210983978,0.5944701626571551,0.39948298157658996,0.0037897119982938095,2.3038856455902574
SOUTH SUDAN,Republic,Juba,,20.01,1600.0,-5.2,21.0,4.78,18.7,34.5%,7.0,0.009984833780161522,7.1709260784796385,0.0016503857487870283,27.23136485498597,,,,7.261697294662925,0.08251928743935141,0.04997501249375312,,,
SPAIN,,,15.1,167.4,34000.0,7.4,,0.12,46.3,98.6%,100.0,0.00010588147674081483,0.005236897839600701,0.005717599744004001,0.010588147674081482,94.63828810773978,1369.1430518257243,31.041324301575212,2.8587998720020003,698.8177464893779,197.13261648745518,,0.012644201278271365,9.948294520822477
SRI LANKA,Republic,Colombo,27.86,296.6,13400.0,3.33,26.1,0.56,33.9,92.3%,100.0,0.19407301775440156,63.19055183785905,7.637439878948509,131.88620110405984,360.9201918613647,1765.3257001392544,24.168342874825935,0.771662098427044,0.9860126813234451,0.07754551584625757,,0.014936747447035513,20.733405539223273
